,#enr,ID,I(intrinsic),I(emergent),type,fractional_emission,constant_temperature
0,1.63403e-11,H  1      1215.67A,-15.378,-15.378,t,0.35217936577612763,1e4.5K
1,2.03317e-11,C  3      977.020A,-16.191,-16.191,t,0.054170632568753194,1e4.5K
2,3.96746e-12,O  3      5006.84A,-16.195,-16.195,t,0.05367399322416907,1e4.5K
3,6.53902e-11,He 2      303.784A,-16.256,-16.256,t,0.046640576193584006,1e4.5K
4,1.04183e-11,C  3      1906.68A,-16.334,-16.334,t,0.03897300623940334,1e4.5K
5,1.64645e-11,Si 3      1206.50A,-16.423,-16.423,t,0.03175147514441291,1e4.5K
6,1.93663e-11,H  1      1025.72A,-16.425,-16.425,t,0.031605590367650795,1e4.5K
7,1.0551e-11,Si 3      1882.71A,-16.496,-16.496,t,0.026838850242204972,1e4.5K
8,1.04071e-11,C  3      1908.73A,-16.526,-16.526,t,0.02504747241698409,1e4.5K
9,4.00581e-12,O  3      4958.91A,-16.67,-16.67,t,0.017978932711687996,1e4.5K
10,1.0499e-11,Si 3      1892.03A,-16.688,-16.688,t,0.017248999397576046,1e4.5K
11,1.19224e-11,O  3      1666.15A,-16.845,-16.845,t,0.012016110322232149,1e4.5K
12,3.0268200000000002e-12,H  1      6562.81A,-16.892,-16.892,t,0.010783603401068783,1e4.5K
13,2.04254e-11,H  1      972.537A,-16.915,-16.915,t,0.01022736856648799,1e4.5K
14,5.32728e-12,O  2      3728.81A,-16.98,-16.98,t,0.00880570043703531,1e4.5K
15,1.28308e-11,C  4      1548.19A,-16.992,-16.992,t,0.008565720653537699,1e4.5K
16,1.4885e-11,C  2      1334.53A,-17.075,-17.075,t,0.007075610325299197,1e4.5K
17,5.33126e-12,O  2      3726.03A,-17.147000000000002,-17.147000000000002,t,0.0059946510393697056,1e4.5K
18,2.38264e-11,O  3      833.715A,-17.16,-17.16,t,0.005817868583866858,1e4.5K
19,8.536760000000001e-12,C  2      2326.93A,-17.172,-17.172,t,0.005659315513255703,1e4.5K
20,1.21093e-11,He 2      1640.43A,-17.187,-17.187,t,0.005467186726061352,1e4.5K
21,2.08428e-12,S  3      9530.62A,-17.221,-17.221,t,0.005055497582168235,1e4.5K
22,2.09156e-11,H  1      949.743A,-17.243,-17.243,t,0.004805780235926881,1e4.5K
23,5.13457e-12,Ne 3      3868.76A,-17.248,-17.248,t,0.004750768924466644,1e4.5K
24,1.48724e-11,C  2      1335.66A,-17.256,-17.256,t,0.0046640576193584015,1e4.5K
