,#enr,ID,I(intrinsic),I(emergent),type,fractional_emission,constant_temperature
0,1.63403e-11,H  1      1215.67A,-15.977,-15.977,t,0.28008683595344397,1e4K
1,6.53902e-11,He 2      303.784A,-16.057000000000002,-16.057000000000002,t,0.23296608290885074,1e4K
2,3.0268200000000002e-12,H  1      6562.81A,-16.711,-16.711,t,0.0516764531043298,1e4K
3,3.17545e-11,He 1      625.563A,-16.824,-16.824,t,0.03983755696707289,1e4K
4,3.96746e-12,O  3      5006.84A,-16.866,-16.866,t,0.03616535208685196,1e4K
5,1.21093e-11,He 2      1640.43A,-16.969,-16.969,t,0.028529403900950365,1e4K
6,2.2488299999999997e-14,O  3      88.3323m,-17.22,-17.22,t,0.016006364316041157,1e4K
7,4.0862199999999995e-12,H  1      4861.33A,-17.23,-17.23,t,0.015642014981814258,1e4K
8,4.00581e-12,O  3      4958.91A,-17.340999999999998,-17.340999999999998,t,0.012114143044069886,1e4K
9,1.63475e-11,He 2      1215.13A,-17.424,-17.424,t,0.010006741881008084,1e4K
10,3.83481e-14,O  3      51.8004m,-17.479,-17.479,t,0.008816428656744273,1e4K
11,7.674639999999999e-14,O  4      25.8832m,-17.498,-17.498,t,0.00843903324022955,1e4K
12,3.3995e-11,He 1      584.334A,-17.526,-17.526,t,0.007912116941223854,1e4K
13,2.08428e-12,S  3      9530.62A,-17.532,-17.532,t,0.007803558627044247,1e4K
14,7.74994e-11,He 2      256.317A,-17.555999999999997,-17.555999999999997,t,0.007384017163805937,1e4K
15,1.29543e-11,Si 2      1533.43A,-17.572,-17.572,t,0.007116930053413687,1e4K
16,4.57658e-12,H  1      4340.46A,-17.576,-17.576,t,0.007051681646489651,1e4K
17,5.934930000000001e-14,S  3      33.4704m,-17.59,-17.59,t,0.006827987187699805,1e4K
18,8.70474e-11,He 2      228.203A,-17.648,-17.648,t,0.005974378006698142,1e4K
19,5.32728e-12,O  2      3728.81A,-17.68,-17.68,t,0.00554999635013989,1e4K
20,1.48724e-11,C  2      1335.66A,-17.680999999999997,-17.680999999999997,t,0.005537231712749536,1e4K
21,3.90896e-11,O  3      508.178A,-17.719,-17.719,t,0.005073325153774415,1e4K
22,2.82226e-11,O  3      703.851A,-17.721,-17.721,t,0.0050500153420528346,1e4K
23,1.57031e-11,Si 2      1265.00A,-17.730999999999998,-17.730999999999998,t,0.004935062958651943,1e4K
24,2.38264e-11,O  3      833.715A,-17.749000000000002,-17.749000000000002,t,0.004734702519101517,1e4K
25,1.83092e-11,He 2      1084.94A,-17.755,-17.755,t,0.004669739965156277,1e4K
26,1.66299e-11,Si 2      1194.50A,-17.758,-17.758,t,0.004637593701349309,1e4K
27,3.46531e-14,N  3      57.3238m,-17.793,-17.793,t,0.0042785114396177715,1e4K
28,1.89048e-13,S  4      10.5076m,-17.813,-17.813,t,0.004085946704042876,1e4K
29,1.0593799999999999e-12,H  1      1.87510m,-17.820999999999998,-17.820999999999998,t,0.004011369771983387,1e4K
30,1.91554e-11,C  2      1037.02A,-17.836,-17.836,t,0.003875187294177713,1e4K
31,4.23944e-12,He 2      4685.64A,-17.838,-17.838,t,0.003857382425876279,1e4K
32,1.06183e-13,S  3      18.7078m,-17.838,-17.838,t,0.003857382425876279,1e4K
33,1.65897e-11,Si 2      1197.39A,-17.843,-17.843,t,0.0038132273343752946,1e4K
34,4.84294e-12,H  1      4101.73A,-17.846,-17.846,t,0.003786977262045482,1e4K
35,5.33126e-12,O  2      3726.03A,-17.857,-17.857,t,0.003692263588765713,1e4K
36,2.17522e-11,H  1      913.215A,-17.873,-17.873,t,0.00355871080972238,1e4K
37,1.2773900000000002e-13,Ne 3      15.5509m,-17.889,-17.889,t,0.0034299887650948054,1e4K
38,2.82609e-11,O  3      702.896A,-17.93,-17.93,t,0.0031209923023392664,1e4K
39,2.19046e-12,S  3      9068.62A,-17.932000000000002,-17.932000000000002,t,0.0031066526452609034,1e4K
40,3.91279e-11,O  3      507.680A,-17.941,-17.941,t,0.00304293515417652,1e4K
41,3.01733e-12,N  2      6583.45A,-18.006,-18.006,t,0.002619948156048861,1e4K
42,1.93749e-11,He 2      1025.27A,-18.014,-18.014,t,0.0025721287130199754,1e4K
43,5.707419999999999e-14,Si 2      34.8046m,-18.024,-18.024,t,0.002513579915452278,1e4K
44,1.51721e-11,Si 2      1309.28A,-18.063,-18.063,t,0.00229769668420861,1e4K
45,5.00355e-12,H  1      3970.07A,-18.066,-18.066,t,0.0022818794514911363,1e4K
46,5.13457e-12,Ne 3      3868.76A,-18.085,-18.085,t,0.0021842014823768375,1e4K
47,1.54973e-12,H  1      1.28180m,-18.116,-18.116,t,0.0020337272018495886,1e4K
48,2.95759e-12,S  2      6716.44A,-18.143,-18.143,t,0.0019111408589074482,1e4K
49,6.20175e-12,He 2      3203.04A,-18.156,-18.156,t,0.0018547812523797926,1e4K
50,1.83416e-12,He 1      1.08303m,-18.217,-18.217,t,0.0016117315133001293,1e4K
51,2.19705e-11,C  2      904.142A,-18.224,-18.224,t,0.0015859617085925205,1e4K
52,2.00174e-11,He 2      992.360A,-18.225,-18.225,t,0.001582314097882879,1e4K
53,3.69895e-11,He 1      537.030A,-18.238,-18.238,t,0.001535651603308396,1e4K
54,5.1078e-12,H  1      3889.05A,-18.26,-18.26,t,0.0014597977754909086,1e4K
55,2.89647e-11,N  3      685.817A,-18.285,-18.285,t,0.0013781379671301932,1e4K
56,2.9512700000000002e-12,S  2      6730.82A,-18.305,-18.305,t,0.0013161115411239894,1e4K
57,1.26015e-14,C  2      157.636m,-18.319000000000003,-18.319000000000003,t,0.0012743616616402167,1e4K
58,2.19623e-11,C  2      904.480A,-18.320999999999998,-18.320999999999998,t,0.001268506501661779,1e4K
59,1.83156e-11,N  2      1084.56A,-18.332,-18.332,t,0.0012367806944973598,1e4K
60,1.04183e-11,C  3      1906.68A,-18.336,-18.336,t,0.001225441820934653,1e4K
61,1.8160900000000002e-12,H  1      1.09380m,-18.368,-18.368,t,0.0011383942606026905,1e4K
