,#enr,ID,I(intrinsic),I(emergent),type,fractional_emission,constant_temperature
0,1.1611700000000001e-10,Fe 9      171.073A,-16.692999999999998,-16.692999999999998,t,0.1562552720512306,1e6K
1,1.13816e-10,Fe10      174.531A,-17.051,-17.051,t,0.06852273348364629,1e6K
2,5.39691e-11,Mg 9      368.071A,-17.187,-17.187,t,0.05009964855701131,1e6K
3,1.1129799999999999e-10,Fe11      178.480A,-17.21,-17.21,t,0.047515431696355706,1e6K
4,1.1207700000000002e-10,Fe10      177.240A,-17.317,-17.317,t,0.0371393825608893,1e6K
5,8.21731e-11,Fe 9      241.739A,-17.495,-17.495,t,0.024651007813795724,1e6K
6,6.21075e-11,Si 8      319.840A,-17.602,-17.602,t,0.019267913118386944,1e6K
7,2.57843e-11,Ne 8      770.410A,-17.691,-17.691,t,0.015697651361691226,1e6K
8,1.07645e-10,Fe10      184.537A,-17.729,-17.729,t,0.014382509824373002,1e6K
9,6.53902e-11,He 2      303.784A,-17.736,-17.736,t,0.014152549395901602,1e6K
10,1.0269000000000001e-10,Fe12      193.440A,-17.756,-17.756,t,0.013515579746388194,1e6K
11,1.05561e-10,Fe11      188.180A,-17.761,-17.761,t,0.013360868184374725,1e6K
12,6.28189e-11,Si 8      316.218A,-17.776,-17.776,t,0.012907278453582218,1e6K
13,3.25757e-11,Mg10      609.794A,-17.858,-17.858,t,0.010686480050496435,1e6K
14,4.61476e-11,Mg 8      430.455A,-17.875999999999998,-17.875999999999998,t,0.010252615709128768,1e6K
15,5.80918e-11,Si 9      341.949A,-17.9,-17.9,t,0.009701405985180322,1e6K
16,3.26397e-10,Si 8      60.8598A,-17.915,-17.915,t,0.009372051779420474,1e6K
17,6.33142e-11,Mg 8      313.744A,-17.923,-17.923,t,0.009200992556322854,1e6K
18,1.1860299999999998e-10,Fe 8      167.486A,-17.939,-17.939,t,0.008868183671932041,1e6K
19,1.33879e-10,Ni11      148.377A,-17.945,-17.945,t,0.008746507630436228,1e6K
20,2.54566e-11,Ne 8      780.325A,-17.994,-17.994,t,0.007813303229783802,1e6K
21,8.75085e-11,Si 9      227.000A,-18.009,-18.009,t,0.007548048452946579,1e6K
22,2.3950400000000003e-10,Fe 9      82.9401A,-18.038,-18.038,t,0.007060487351626883,1e6K
23,1.0645500000000001e-10,Fe 8      186.599A,-18.039,-18.039,t,0.00704424868133645,1e6K
24,1.0651799999999999e-10,Fe11      186.490A,-18.053,-18.053,t,0.006820790012135601,1e6K
25,6.30586e-11,Mg 8      315.016A,-18.055999999999997,-18.055999999999997,t,0.006773836023961134,1e6K
26,6.26584e-11,Mg 8      317.028A,-18.067999999999998,-18.067999999999998,t,0.006589230186628582,1e6K
27,6.3191e-11,Si 8      314.356A,-18.075,-18.075,t,0.006483875682059011,1e6K
28,1.92501e-11,O  6      1031.91A,-18.076,-18.076,t,0.006468963181807758,1e6K
