,#enr,ID,I(intrinsic),I(emergent),type,fractional_emission,constant_temperature
0,3.15443e-11,O  5      629.732A,-16.168,-16.168,t,0.23306299392246485,1e5.5K
1,1.92501e-11,O  6      1031.91A,-16.375999999999998,-16.375999999999998,t,0.14436879151594553,1e5.5K
2,1.91443e-11,O  6      1037.62A,-16.679000000000002,-16.679000000000002,t,0.07185770145107775,1e5.5K
3,6.53902e-11,He 2      303.784A,-16.875,-16.875,t,0.045758662426784766,1e5.5K
4,3.55557e-11,Ne 6      558.685A,-17.164,-17.164,t,0.023521949925391923,1e5.5K
5,4.95183e-11,Ne 6      401.154A,-17.315,-17.315,t,0.01661396614279869,1e5.5K
6,3.49467e-11,Ne 5      568.422A,-17.320999999999998,-17.320999999999998,t,0.016386013981613965,1e5.5K
7,1.21517e-10,Fe 7      163.470A,-17.357,-17.357,t,0.015082499552118003,1e5.5K
8,4.94229e-11,Ne 6      401.928A,-17.44,-17.44,t,0.012458717004530214,1e5.5K
9,3.48647e-11,Ne 5      569.759A,-17.455,-17.455,t,0.012035754513311831,1e5.5K
10,1.63654e-11,O  5      1213.81A,-17.462,-17.462,t,0.011843316107313491,1e5.5K
11,5.5275e-11,Ne 5      359.375A,-17.486,-17.486,t,0.011206585814542069,1e5.5K
12,4.26991e-11,Ne 7      465.220A,-17.499000000000002,-17.499000000000002,t,0.01087610323180495,1e5.5K
13,4.11285e-11,Ne 5      482.985A,-17.500999999999998,-17.500999999999998,t,0.010826132076613213,1e5.5K
14,4.92585e-11,Ne 6      403.270A,-17.531,-17.531,t,0.010103534321495515,1e5.5K
15,6.01244e-11,Ca 6      330.390A,-17.611,-17.611,t,0.00840375380871234,1e5.5K
16,1.63045e-11,O  5      1218.34A,-17.617,-17.617,t,0.008288449983828128,1e5.5K
17,7.11428e-11,Fe 6      279.220A,-17.621,-17.621,t,0.008212461017622893,1e5.5K
18,4.13491e-11,Ne 5      480.408A,-17.632,-17.632,t,0.008007064392340257,1e5.5K
19,1.3035299999999997e-10,Fe 7      152.390A,-17.632,-17.632,t,0.008007064392340257,1e5.5K
20,2.5218e-11,O  4      787.710A,-17.655,-17.655,t,0.0075940477065346845,1e5.5K
21,4.55982e-11,Ne 6      435.641A,-17.688,-17.688,t,0.00703838989458193,1e5.5K
22,4.12671e-11,Ne 5      481.363A,-17.689,-17.689,t,0.007022202047032387,1e5.5K
23,5.54136e-11,Ne 5      358.476A,-17.71,-17.71,t,0.006690727173411483,1e5.5K
24,1.63403e-11,H  1      1215.67A,-17.726,-17.726,t,0.0064487170388835835,1e5.5K
25,3.58515e-11,O  4      554.076A,-17.742,-17.742,t,0.0062154606472144,1e5.5K
26,4.92538e-11,Mg 6      403.308A,-17.762,-17.762,t,0.005935718836797754,1e5.5K
27,5.62586e-11,Mg 5      353.092A,-17.77,-17.77,t,0.0058273797583711815,1e5.5K
28,1.3857299999999997e-10,Ne 5      143.350A,-17.777,-17.777,t,0.005734206399724856,1e5.5K
29,7.99502e-11,O  5      248.460A,-17.826,-17.826,t,0.0051223980217327755,1e5.5K
30,1.0938600000000001e-10,Fe 7      181.600A,-17.831,-17.831,t,0.005063762416448529,1e5.5K
31,5.87706e-11,Ca 7      338.000A,-17.835,-17.835,t,0.005017337563564581,1e5.5K
32,1.6035e-11,N  5      1238.82A,-17.878,-17.878,t,0.0045443662010315935,1e5.5K
33,3.58232e-11,O  4      554.514A,-17.882,-17.882,t,0.0045027032012730775,1e5.5K
34,4.5858e-11,Ne 6      433.173A,-17.885,-17.885,t,0.0044717068104606055,1e5.5K
35,3.52959e-11,Ne 6      562.798A,-17.898,-17.898,t,0.0043398360301515745,1e5.5K
36,4.9579e-11,Mg 6      400.663A,-17.94,-17.94,t,0.003939792245778581,1e5.5K
37,3.39126e-11,Ar 7      585.754A,-17.959,-17.959,t,0.0037711457797926723,1e5.5K
38,1.2667e-10,Fe 6      156.820A,-17.963,-17.963,t,0.003736571707466115,1e5.5K
39,3.57748e-11,O  4      555.264A,-18.0,-18.0,t,0.0034314155980644523,1e5.5K
40,3.53019e-11,Ne 6      562.703A,-18.026,-18.026,t,0.0032320146531631126,1e5.5K
41,3.09461e-11,Ca 6      641.904A,-18.051,-18.051,t,0.003051218585634123,1e5.5K
42,1.1860299999999998e-10,Fe 8      167.486A,-18.051,-18.051,t,0.003051218585634123,1e5.5K
43,1.0645500000000001e-10,Fe 8      186.599A,-18.055,-18.055,t,0.003023244845496808,1e5.5K
44,1.1383e-10,Fe 6      174.510A,-18.062,-18.062,t,0.002974906503403952,1e5.5K
45,7.74994e-11,He 2      256.317A,-18.067999999999998,-18.067999999999998,t,0.002934089255978215,1e5.5K
46,3.65232e-11,Ne 4      543.886A,-18.070999999999998,-18.070999999999998,t,0.002913891127611402,1e5.5K
47,1.14771e-10,O  6      173.080A,-18.075,-18.075,t,0.002887176413176976,1e5.5K
48,3.25738e-11,O  4      609.830A,-18.097,-18.097,t,0.0027445637384973694,1e5.5K
49,1.44859e-11,O  5      1371.30A,-18.105,-18.105,t,0.0026944698047570363,1e5.5K
50,8.30698e-11,O  4      239.130A,-18.108,-18.108,t,0.002675921205089832,1e5.5K
51,1.6160499999999998e-10,Ne 6      122.920A,-18.125999999999998,-18.125999999999998,t,0.0025672804940500785,1e5.5K
52,1.1537799999999999e-10,O  5      172.169A,-18.134,-18.134,t,0.0025204223441889786,1e5.5K
53,1.01189e-10,Fe 7      196.310A,-18.174,-18.174,t,0.0022986524976551844,1e5.5K
54,1.59836e-11,N  5      1242.80A,-18.18,-18.18,t,0.0022671138030322512,1e5.5K
55,1.0789e-10,O  6      184.117A,-18.18,-18.18,t,0.0022671138030322512,1e5.5K
56,4.96828e-11,Ne 6      399.826A,-18.201,-18.201,t,0.0021600973349341986,1e5.5K
57,8.0749e-11,Si 6      246.003A,-18.201,-18.201,t,0.0021600973349341986,1e5.5K
58,1.34011e-10,Fe 7      148.230A,-18.203,-18.203,t,0.002150172589200102,1e5.5K
59,5.70605e-11,Ca 7      348.130A,-18.209,-18.209,t,0.002120671115294604,1e5.5K
60,3.13397e-11,Ca 6      633.844A,-18.215999999999998,-18.215999999999998,t,0.00208676392911675,1e5.5K
61,4.97504e-11,Mg 6      399.282A,-18.233,-18.233,t,0.002006657816326792,1e5.5K
62,5.7981e-12,Ne 5      3426.03A,-18.243,-18.243,t,0.001960980707836459,1e5.5K
63,3.66452e-11,Ne 4      542.076A,-18.246,-18.246,t,0.001947481411596229,1e5.5K
64,5.59044e-11,Mg 5      355.329A,-18.247,-18.247,t,0.0019430023286427884,1e5.5K
65,1.32351e-10,O  6      150.090A,-18.25,-18.25,t,0.0019296267946943982,1e5.5K
66,1.3926300000000002e-10,Ne 5      142.640A,-18.258,-18.258,t,0.0018944071364874748,1e5.5K
67,5.54957e-11,Ne 5      357.946A,-18.291,-18.291,t,0.00175579303171926,1e5.5K
68,1.1759e-10,Fe 8      168.930A,-18.315,-18.315,t,0.001661396614279869,1e5.5K
69,1.1486599999999999e-10,O  6      172.936A,-18.33,-18.33,t,0.0016049936595757784,1e5.5K
70,1.73398e-11,Ne 5      1145.60A,-18.348,-18.348,t,0.001539831930576068,1e5.5K
71,1.33623e-10,Fe 7      148.660A,-18.352,-18.352,t,0.0015257146665806657,1e5.5K
72,2.51413e-11,O  4      790.114A,-18.352999999999998,-18.352999999999998,t,0.001522205620222544,1e5.5K
73,1.9752e-11,Ne 6      1005.69A,-18.365,-18.365,t,0.0014807212910891714,1e5.5K
74,1.15794e-10,Ne 4      171.550A,-18.37,-18.37,t,0.0014637716146306099,1e5.5K
75,7.21417e-11,Si 7      275.353A,-18.374000000000002,-18.374000000000002,t,0.0014503516758032694,1e5.5K
76,1.1755500000000001e-10,Fe 7      168.980A,-18.375999999999998,-18.375999999999998,t,0.0014436879151594553,1e5.5K
77,1.28308e-11,C  4      1548.19A,-18.382,-18.382,t,0.00142387977437545,1e5.5K
78,2.51385e-11,O  4      790.201A,-18.399,-18.399,t,0.0013692202739815963,1e5.5K
79,8.48908e-11,Fe 7      234.000A,-18.4,-18.4,t,0.00136607115473858,1e5.5K
80,3.48599e-11,Ne 5      569.837A,-18.402,-18.402,t,0.0013597946279144308,1e5.5K
81,1.98807e-11,Ne 6      999.183A,-18.403,-18.403,t,0.0013566671870558,1e5.5K
82,3.26505e-11,O  4      608.397A,-18.412,-18.412,t,0.0013288419232537453,1e5.5K
83,4.49574e-11,Ar 5      441.850A,-18.435,-18.435,t,0.0012602982148221266,1e5.5K
84,3.47077e-11,Ne 5      572.336A,-18.479,-18.479,t,0.0011388678185571695,1e5.5K
85,1.93663e-11,H  1      1025.72A,-18.480999999999998,-18.480999999999998,t,0.0011336351962391252,1e5.5K
86,1.07996e-10,O  6      183.937A,-18.484,-18.484,t,0.0011258313064398805,1e5.5K
87,2.56475e-11,O  5      774.518A,-18.493,-18.493,t,0.001102740489917463,1e5.5K
88,9.22878e-11,O  5      215.245A,-18.500999999999998,-18.500999999999998,t,0.0010826132076613214,1e5.5K
89,1.18368e-10,Ne 5      167.820A,-18.503,-18.503,t,0.0010776390518023868,1e5.5K
90,5.65802e-11,Mg 5      351.085A,-18.504,-18.504,t,0.0010751605507609142,1e5.5K
91,2.12823e-11,S  6      933.380A,-18.51,-18.51,t,0.0010604087949754428,1e5.5K
92,7.97371e-11,Si 6      249.124A,-18.516,-18.516,t,0.0010458594408671994,1e5.5K
93,3.15508e-11,Ca 6      629.602A,-18.534000000000002,-18.534000000000002,t,0.001003398208044882,1e5.5K
94,1.1611700000000001e-10,Fe 9      171.073A,-18.544,-18.544,t,0.0009805580763418253,1e5.5K
95,3.67095e-11,Ne 4      541.126A,-18.547,-18.547,t,0.0009738079620238258,1e5.5K
96,2.6313e-11,Ar 6      754.930A,-18.547,-18.547,t,0.0009738079620238258,1e5.5K
