,#enr,ID,I(intrinsic),I(emergent),type,fractional_emission,constant_temperature
0,1.1611700000000001e-10,Fe 9      171.073A,-11.693,-11.693,t,0.15625527205199882,1e6K
1,1.13816e-10,Fe10      174.531A,-12.050999999999998,-12.050999999999998,t,0.06852273348398345,1e6K
2,5.39691e-11,Mg 9      368.071A,-12.187000000000001,-12.187000000000001,t,0.05009964855725782,1e6K
3,1.1129799999999999e-10,Fe11      178.480A,-12.21,-12.21,t,0.047515431696589505,1e6K
4,1.1207700000000002e-10,Fe10      177.240A,-12.317,-12.317,t,0.03713938256107204,1e6K
5,8.21731e-11,Fe 9      241.739A,-12.495,-12.495,t,0.02465100781391712,1e6K
6,6.21075e-11,Si 8      319.840A,-12.602,-12.602,t,0.01926791311848175,1e6K
7,2.57843e-11,Ne 8      770.410A,-12.690999999999999,-12.690999999999999,t,0.015697651361768466,1e6K
8,1.07645e-10,Fe10      184.537A,-12.729000000000001,-12.729000000000001,t,0.014382509824443713,1e6K
9,6.53902e-11,He 2      303.784A,-12.735999999999999,-12.735999999999999,t,0.014152549395971294,1e6K
10,1.0269000000000001e-10,Fe12      193.440A,-12.755999999999998,-12.755999999999998,t,0.013515579746454752,1e6K
11,1.05561e-10,Fe11      188.180A,-12.761,-12.761,t,0.013360868184440466,1e6K
12,6.28189e-11,Si 8      316.218A,-12.776,-12.776,t,0.012907278453645726,1e6K
13,3.25757e-11,Mg10      609.794A,-12.857999999999999,-12.857999999999999,t,0.01068648005054906,1e6K
14,4.61476e-11,Mg 8      430.455A,-12.876,-12.876,t,0.010252615709179172,1e6K
15,5.80918e-11,Si 9      341.949A,-12.9,-12.9,t,0.009701405985228017,1e6K
16,3.26397e-10,Si 8      60.8598A,-12.915,-12.915,t,0.009372051779466588,1e6K
17,6.33142e-11,Mg 8      313.744A,-12.923,-12.923,t,0.009200992556368089,1e6K
18,1.1860299999999998e-10,Fe 8      167.486A,-12.939,-12.939,t,0.008868183671975676,1e6K
19,1.33879e-10,Ni11      148.377A,-12.945,-12.945,t,0.008746507630479263,1e6K
20,2.54566e-11,Ne 8      780.325A,-12.994000000000002,-12.994000000000002,t,0.007813303229822214,1e6K
21,8.75085e-11,Si 9      227.000A,-13.009,-13.009,t,0.007548048452983719,1e6K
22,2.3950400000000003e-10,Fe 9      82.9401A,-13.038,-13.038,t,0.007060487351661623,1e6K
23,1.0645500000000001e-10,Fe 8      186.599A,-13.039000000000001,-13.039000000000001,t,0.007044248681371112,1e6K
24,1.0651799999999999e-10,Fe11      186.490A,-13.052999999999999,-13.052999999999999,t,0.0068207900121691895,1e6K
25,6.30586e-11,Mg 8      315.016A,-13.056,-13.056,t,0.006773836023994437,1e6K
26,6.26584e-11,Mg 8      317.028A,-13.068,-13.068,t,0.006589230186660976,1e6K
27,6.3191e-11,Si 8      314.356A,-13.075,-13.075,t,0.006483875682090914,1e6K
28,1.92501e-11,O  6      1031.91A,-13.075999999999999,-13.075999999999999,t,0.006468963181839614,1e6K
29,8.83941e-11,S  9      224.726A,-13.094000000000001,-13.094000000000001,t,0.006206327361910211,1e6K
30,1.92821e-10,Fe 9      103.020A,-13.095999999999998,-13.095999999999998,t,0.0061778118779024765,1e6K
31,5.75863e-11,Si 9      344.951A,-13.127,-13.127,t,0.005752209292673671,1e6K
32,4.26991e-11,Ne 7      465.220A,-13.127,-13.127,t,0.005752209292673671,1e6K
33,7.72146e-11,Fe10      257.263A,-13.13,-13.13,t,0.005712611362430249,1e6K
34,2.6433e-10,Mg 8      75.1501A,-13.151,-13.151,t,0.005442954192681482,1e6K
35,3.17861e-11,Mg10      624.943A,-13.162,-13.162,t,0.005306823936434837,1e6K
36,6.70614e-11,Si 9      296.213A,-13.192,-13.192,t,0.004952616262250237,1e6K
37,1.0180700000000001e-10,Fe12      195.119A,-13.198,-13.198,t,0.004884663819660929,1e6K
38,1.1759e-10,Fe 8      168.930A,-13.216,-13.216,t,0.004686349553325738,1e6K
39,5.888e-10,C  6      33.7372A,-13.232999999999999,-13.232999999999999,t,0.004506451271275838,1e6K
40,8.82771e-11,Si 9      225.024A,-13.238,-13.238,t,0.004454866350140417,1e6K
41,5.71799e-11,Si10      347.403A,-13.259,-13.259,t,0.004244579569651828,1e6K
42,6.83355e-11,Si 9      290.690A,-13.262,-13.262,t,0.0042153600894208505,1e6K
43,1.0452899999999999e-10,Fe10      190.037A,-13.277000000000001,-13.277000000000001,t,0.004072252319643586,1e6K
44,6.783e-11,Si 9      292.857A,-13.28,-13.28,t,0.004044219131857435,1e6K
45,8.81545e-11,Cr10      225.337A,-13.286,-13.286,t,0.0039887303651482495,1e6K
46,8.11096e-11,Fe 9      244.909A,-13.287,-13.287,t,0.003979556539879353,1e6K
47,7.21417e-11,Si 7      275.353A,-13.329,-13.329,t,0.0036127231279073422,1e6K
48,1.1008799999999999e-10,Fe10      180.441A,-13.335999999999999,-13.335999999999999,t,0.003554959679900943,1e6K
49,1.0004600000000001e-10,S  8      198.554A,-13.357000000000001,-13.357000000000001,t,0.0033871519462683477,1e6K
50,1.91443e-11,O  6      1037.62A,-13.379000000000001,-13.379000000000001,t,0.003219842876964893,1e6K
51,5.86e-11,Mg 8      338.984A,-13.386,-13.386,t,0.00316836114973935,1e6K
52,4.78984e-10,C  5      41.4721A,-13.397,-13.397,t,0.0030891192895422053,1e6K
53,1.6030100000000001e-10,Fe 8      123.920A,-13.456,-13.456,t,0.0026967126933057748,1e6K
54,5.74551e-11,Fe10      345.739A,-13.467,-13.467,t,0.00262926693187407,1e6K
55,5.63258e-11,Fe11      352.671A,-13.482999999999999,-13.482999999999999,t,0.0025341637797949876,1e6K
56,7.74812e-11,Si10      256.378A,-13.487,-13.487,t,0.0025109304266110674,1e6K
57,1.5170500000000002e-10,Fe 8      130.941A,-13.494000000000002,-13.494000000000002,t,0.002470783425578823,1e6K
58,4.933080000000001e-10,C  5      40.2678A,-13.508,-13.508,t,0.0023924048786053017,1e6K
59,5.9256e-11,Mg 8      335.231A,-13.524000000000001,-13.524000000000001,t,0.0023058692582593626,1e6K
60,2.36314e-10,Mg 7      84.0598A,-13.524000000000001,-13.524000000000001,t,0.0023058692582593626,1e6K
61,7.68825e-11,Si10      258.374A,-13.527000000000001,-13.527000000000001,t,0.002289995765937847,1e6K
62,2.08617e-10,Fe10      95.2200A,-13.530999999999999,-13.530999999999999,t,0.0022690009585604114,1e6K
63,2.73126e-10,Fe 9      72.7299A,-13.532,-13.532,t,0.0022637824011691506,1e6K
64,1.63403e-11,H  1      1215.67A,-13.555,-13.555,t,0.0021470130261644627,1e6K
65,1.1334100000000001e-10,Fe10      175.263A,-13.569,-13.569,t,0.0020789051703394975,1e6K
66,4.6289e-11,Mg 7      429.140A,-13.572000000000001,-13.572000000000001,t,0.0020645940878094094,1e6K
67,7.60925e-11,Si10      261.057A,-13.579,-13.579,t,0.0020315835112932378,1e6K
68,2.92166e-10,Fe 9      67.9902A,-13.585999999999999,-13.585999999999999,t,0.0019991007373937556,1e6K
69,8.6808e-11,S  9      228.832A,-13.597999999999999,-13.597999999999999,t,0.0019446196923502573,1e6K
70,2.5648200000000005e-10,Fe10      77.4497A,-13.620999999999999,-13.620999999999999,t,0.0018443132203234958,1e6K
71,2.81342e-11,Mg 9      706.061A,-13.626,-13.626,t,0.001823201541467493,1e6K
72,3.5927899999999996e-10,Si 9      55.2899A,-13.628,-13.628,t,0.0018148246913003946,1e6K
73,7.51785e-11,S 10      264.231A,-13.635,-13.635,t,0.0017858076512491108,1e6K
74,4.54917e-11,Mg 8      436.661A,-13.639000000000001,-13.639000000000001,t,0.001769435268291536,1e6K
75,8.61758e-11,Fe 9      230.511A,-13.644,-13.644,t,0.001749180710264733,1e6K
76,2.5553400000000003e-10,Mg 9      77.7369A,-13.654000000000002,-13.654000000000002,t,0.0017093644962486124,1e6K
77,7.30331e-11,Si10      271.992A,-13.663,-13.663,t,0.0016743054054887067,1e6K
78,7.13512e-11,Mg 7      278.404A,-13.668,-13.668,t,0.0016551397899967058,1e6K
79,6.54886e-11,Si11      303.327A,-13.689,-13.689,t,0.0015770108428317712,1e6K
80,9.80426e-11,S  8      202.610A,-13.69,-13.69,t,0.0015733838185421187,1e6K
81,2.8499900000000004e-10,Mg 8      69.7000A,-13.696,-13.696,t,0.00155179618325219,1e6K
82,3.1162200000000002e-12,Fe10      6374.54A,-13.703,-13.703,t,0.0015269846781978953,1e6K
83,8.98795e-10,O  7      22.1012A,-13.713,-13.713,t,0.001492226263364215,1e6K
84,9.07314e-11,Fe 9      218.937A,-13.72,-13.72,t,0.0014683672154588209,1e6K
85,8.87826e-11,Si 9      223.743A,-13.729000000000001,-13.729000000000001,t,0.0014382509824443714,1e6K
86,9.55381e-11,Ni11      207.922A,-13.732999999999999,-13.732999999999999,t,0.0014250650181792974,1e6K
87,7.16445e-11,Si10      277.264A,-13.744000000000002,-13.744000000000002,t,0.0013894236257983457,1e6K
88,3.56143e-11,Ca10      557.766A,-13.745,-13.745,t,0.0013862280401355804,1e6K
89,1.21517e-10,Fe 7      163.470A,-13.747,-13.747,t,0.0013798589008355445,1e6K
90,2.02162e-10,Ne 8      98.2601A,-13.749,-13.749,t,0.0013735190250724223,1e6K
91,5.40253e-11,Mg 7      367.688A,-13.751,-13.751,t,0.0013672082783924805,1e6K
92,4.60685e-11,Mg 7      431.194A,-13.755,-13.755,t,0.0013546736375531095,1e6K
93,1.0136399999999998e-10,Fe 8      195.972A,-13.755999999999998,-13.755999999999998,t,0.0013515579746454752,1e6K
94,7.73177e-11,Fe11      256.920A,-13.769,-13.769,t,0.0013117004857035553,1e6K
95,7.74994e-11,He 2      256.317A,-13.775,-13.775,t,0.001293703280341911,1e6K
96,2.12613e-10,Fe10      93.4300A,-13.782,-13.782,t,0.0012730183954160507,1e6K
97,7.72157e-11,Fe10      257.259A,-13.788,-13.788,t,0.0012555519282300106,1e6K
98,2.61651e-10,Fe10      75.9198A,-13.789000000000001,-13.789000000000001,t,0.001252664238927608,1e6K
99,3.9800599999999997e-10,Si 8      49.9099A,-13.792,-13.792,t,0.0012440409589620073,1e6K
100,6.37145e-11,Mg 8      311.773A,-13.793,-13.793,t,0.0012411797441542667,1e6K
101,7.65499e-11,S 10      259.497A,-13.794,-13.794,t,0.001238325109957969,1e6K
102,2.6286200000000003e-10,Fe10      75.5698A,-13.796,-13.796,t,0.0012326355228945906,1e6K
103,5.64235e-11,Fe 9      352.060A,-13.797,-13.797,t,0.001229800539861876,1e6K
